robust,median,k,score
True,True,0.001,37.89068716424983
True,True,0.0015,42.37346701113784
True,True,0.002,43.304367644205634
True,True,0.0025,44.021179394021274
True,False,0.001,37.07114086478641
True,False,0.0015,41.11792283070624
True,False,0.002,42.308358516895645
True,False,0.0025,42.97051652270482
False,True,0.001,35.83633459747035
False,True,0.0015,41.62771532783448
False,True,0.002,45.709173737446065
False,True,0.0025,44.06982568116278
False,False,0.001,33.14834267486928
False,False,0.0015,39.310356456228895
False,False,0.002,41.97006118517085
False,False,0.0025,40.70876896406215

robust,median,k,score
True,True,0.001,37.89068716424983
True,True,0.0013,42.22401778277646
True,True,0.0015999999999999999,42.02298716398708
True,True,0.0018999999999999998,43.48117926646334
True,True,0.0021999999999999997,43.26344209378864
True,True,0.0024999999999999996,44.021179394021274
True,True,0.0027999999999999995,43.721614875209625
True,False,0.001,37.07114086478641
True,False,0.0013,40.22998983082142
True,False,0.0015999999999999999,40.63279981495882
True,False,0.0018999999999999998,42.00076323156068
True,False,0.0021999999999999997,41.24287458178521
True,False,0.0024999999999999996,42.97051652270482
True,False,0.0027999999999999995,42.47950428163067
False,True,0.001,35.83633459747035
False,True,0.0013,41.14783017926188
False,True,0.0015999999999999999,42.54819513489433
False,True,0.0018999999999999998,46.10607404818334
False,True,0.0021999999999999997,44.855414972044215
False,True,0.0024999999999999996,44.06982568116278
False,True,0.0027999999999999995,44.35264146784248
False,False,0.001,33.14834267486928
False,False,0.0013,38.40486072109706
False,False,0.0015999999999999999,40.14689552097475
False,False,0.0018999999999999998,42.54599060634005
False,False,0.0021999999999999997,41.10406794748931
False,False,0.0024999999999999996,40.70876896406215
False,False,0.0027999999999999995,40.0591190100773

<=2
robust,median,k,score
True,True,0.001,37.89068716424983
True,True,0.0013,42.22401778277646
True,True,0.0015999999999999999,42.02298716398708
True,True,0.0018999999999999998,43.48117926646334
True,True,0.0021999999999999997,43.26344209378864
True,True,0.0024999999999999996,44.021179394021274
True,True,0.0027999999999999995,43.721614875209625
True,True,0.0030999999999999995,42.72642724630002
True,False,0.001,37.21338224409675
True,False,0.0013,40.4196450032352
True,False,0.0015999999999999999,40.86986878047606
True,False,0.0018999999999999998,42.28524599018137
True,False,0.0021999999999999997,41.57477113350934
True,False,0.0024999999999999996,43.39724066063586
True,False,0.0027999999999999995,42.953642212665144
True,False,0.0030999999999999995,41.014604561823255
False,True,0.001,35.83633459747035
False,True,0.0013,41.14783017926188
False,True,0.0015999999999999999,42.54819513489433
False,True,0.0018999999999999998,46.10607404818334
False,True,0.0021999999999999997,44.855414972044215
False,True,0.0024999999999999996,44.06982568116278
False,True,0.0027999999999999995,44.35264146784248
False,True,0.0030999999999999995,43.063161615141325
False,False,0.001,33.14834267486928
False,False,0.0013,38.40486072109706
False,False,0.0015999999999999999,40.14689552097475
False,False,0.0018999999999999998,42.54599060634005
False,False,0.0021999999999999997,41.10406794748931
False,False,0.0024999999999999996,40.70876896406215
False,False,0.0027999999999999995,40.0591190100773
False,False,0.0030999999999999995,38.320453739344025

check period (< 10)
robust,median,k,score
True,True,0.001,38.03292860197503
True,True,0.0013,42.99359521567864
True,True,0.0015999999999999999,42.84006690936441
True,True,0.0018999999999999998,44.393086598047574
True,True,0.0021999999999999997,44.17534942537287
True,True,0.0024999999999999996,44.59016095540975
True,True,0.0027999999999999995,44.2905964365981
True,True,0.0030999999999999995,43.43756160921228
True,False,0.001,37.35562368182196
True,False,0.0013,41.14180864303394
True,False,0.0015999999999999999,41.6395347911648
True,False,0.0018999999999999998,43.197153321765605
True,False,0.0021999999999999997,42.48667846509357
True,False,0.0024999999999999996,43.966222222024335
True,False,0.0027999999999999995,43.475209980950176
True,False,0.0030999999999999995,41.67841370941862
False,True,0.001,35.978576035195545
False,True,0.0013,41.91740761216406
False,True,0.0015999999999999999,43.27044735247962
False,True,0.0018999999999999998,46.92315379356067
False,True,0.0021999999999999997,45.719908510524995
False,True,0.0024999999999999996,45.123901858417895
False,True,0.0027999999999999995,44.92162302923096
False,True,0.0030999999999999995,43.774295978053594
False,False,0.001,33.29058411259448
False,False,0.0013,39.127024360895795
False,False,0.0015999999999999999,40.869147738560045
False,False,0.0018999999999999998,43.36307041013225
False,False,0.0021999999999999997,41.43605313541487
False,False,0.0024999999999999996,41.23033673234719
False,False,0.0027999999999999995,40.62810057146579
False,False,0.0030999999999999995,39.031676605036694

robust,median,k,thresh,score
True,True,0.0015,10,43.19054675651516
True,True,0.0015,60,42.73257842145017
True,True,0.0015,110,42.73257842145017
True,True,0.0015,160,42.73257842145017
True,True,0.0018,10,44.19970951114589
True,True,0.0018,60,43.7417411760809
True,True,0.0018,110,43.7417411760809
True,True,0.0018,160,43.7417411760809
True,True,0.0021,10,43.84963685843961
True,True,0.0021,60,43.439082316478064
True,True,0.0021,110,43.439082316478064
True,True,0.0021,160,43.439082316478064
True,True,0.0024,10,43.572350346892684
True,True,0.0024,60,43.16179580493114
True,True,0.0024,110,43.16179580493114
True,True,0.0024,160,43.16179580493114
True,True,0.0026999999999999997,10,45.11780142104147
True,True,0.0026999999999999997,60,44.75466067218337
True,True,0.0026999999999999997,110,44.75466067218337
True,True,0.0026999999999999997,160,44.75466067218337
True,True,0.0029999999999999996,10,43.23988434667387
True,True,0.0029999999999999996,60,42.876743597815775
True,True,0.0029999999999999996,110,42.876743597815775
True,True,0.0029999999999999996,160,42.876743597815775
False,True,0.0015,10,42.349967545419766
False,True,0.0015,60,41.891999210354776
False,True,0.0015,110,41.891999210354776
False,True,0.0015,160,41.891999210354776
False,True,0.0018,10,45.73672163001858
False,True,0.0018,60,45.278753294953596
False,True,0.0018,110,45.278753294953596
False,True,0.0018,160,45.278753294953596
False,True,0.0021,10,46.02891384901548
False,True,0.0021,60,45.61835930705394
False,True,0.0021,110,45.61835930705394
False,True,0.0021,160,45.61835930705394
False,True,0.0024,10,44.94727089605325
False,True,0.0024,60,44.5367163540917
False,True,0.0024,110,44.5367163540917
False,True,0.0024,160,44.5367163540917
False,True,0.0026999999999999997,10,45.80230234570648
False,True,0.0026999999999999997,60,45.04621542630083
False,True,0.0026999999999999997,110,45.04621542630083
False,True,0.0026999999999999997,160,45.04621542630083
False,True,0.0029999999999999996,10,43.823123188495146
False,True,0.0029999999999999996,60,43.067036269089485
False,True,0.0029999999999999996,110,43.067036269089485
False,True,0.0029999999999999996,160,43.067036269089485
True,False,0.0015,10,42.124657806912225
True,False,0.0015,60,41.66668947184723
True,False,0.0015,110,41.66668947184723
True,False,0.0015,160,41.66668947184723
True,False,0.0018,10,42.949625837800994
True,False,0.0018,60,42.49165750273601
True,False,0.0018,110,42.49165750273601
True,False,0.0018,160,42.49165750273601
True,False,0.0021,10,43.05548600406966
True,False,0.0021,60,42.64493146210811
True,False,0.0021,110,42.64493146210811
True,False,0.0021,160,42.64493146210811
True,False,0.0024,10,41.79091934783786
True,False,0.0024,60,41.38036480587632
True,False,0.0024,110,41.38036480587632
True,False,0.0024,160,41.38036480587632
True,False,0.0026999999999999997,10,44.37968424203259
True,False,0.0026999999999999997,60,44.016543493174495
True,False,0.0026999999999999997,110,44.016543493174495
True,False,0.0026999999999999997,160,44.016543493174495
True,False,0.0029999999999999996,10,41.75923197701872
True,False,0.0029999999999999996,60,41.396091228160635
True,False,0.0029999999999999996,110,41.396091228160635
True,False,0.0029999999999999996,160,41.396091228160635
False,False,0.0015,10,40.03260867381419
False,False,0.0015,60,39.5746403387492
False,False,0.0015,110,39.5746403387492
False,False,0.0015,160,39.5746403387492
False,False,0.0018,10,43.01300341658564
False,False,0.0018,60,42.55503508152066
False,False,0.0018,110,42.55503508152066
False,False,0.0018,160,42.55503508152066
False,False,0.0021,10,41.751533928215025
False,False,0.0021,60,41.340979386253494
False,False,0.0021,110,41.340979386253494
False,False,0.0021,160,41.340979386253494
False,False,0.0024,10,40.315269283233725
False,False,0.0024,60,39.90471474127217
False,False,0.0024,110,39.90471474127217
False,False,0.0024,160,39.90471474127217
False,False,0.0026999999999999997,10,41.73266646188075
False,False,0.0026999999999999997,60,40.97657954247509
False,False,0.0026999999999999997,110,40.97657954247509
False,False,0.0026999999999999997,160,40.97657954247509
False,False,0.0029999999999999996,10,38.935938850261756
False,False,0.0029999999999999996,60,38.17985193085611
False,False,0.0029999999999999996,110,38.17985193085611
False,False,0.0029999999999999996,160,38.17985193085611
